"","HCI_CODE","HCI_NAME","LICENCE_TYPE","HCI_TEL","POSTAL_CD","ADDR_TYPE","BLK_HSE_NO","FLOOR_NO","UNIT_NO","STREET_NAME","BUILDING_NAME","CLINIC_PROGRAMME_CODE","X_COORDINATE","Y_COORDINATE","INC_CRC","FMEL_UPD_D","LONGITUDE","LATITUDE"
"12","19M0140","CHINATOWN WELLNESS CLINIC","MC","62267188","050531","B","531","02","02","UPPER CROSS STREET","HONG LIM COMPLEX","CHAS","29422.62998702","29647.10722163","3AB0D9F40F3980CE","20200902122251",103.846101472114,1.28439238197795
"13","17M0241","CHIRON MEDICAL CLINIC","MC","62914963","320003","A","3","01","95","ST. GEORGE'S ROAD","ST GEORGE'S WEST GARDENS","CDMP,CHAS,ISP","31092.60521051","33870.52402674","86305D4172F87204","20200902122251",103.861107276896,1.32258735163112
"14","9400248","CHNG CLINIC AND SURGERY","MD","62504522","310178","A","178","01","236","TOA PAYOH CENTRAL","","CDMP,CHAS","29774.61661181","35086.05165652","7CFDB6900394AC9A","20200902122251",103.849264521174,1.33358025833851
"15","9400251","CHONG & LIM FAMILY CLINIC","MC","67626881","670103","A","103","01","39","GANGSA ROAD","","CDMP,CHAS","20790.78008764","40072.0159501","1CE721DB39C8C68F","20200902122251",103.768538441068,1.37867070866309
"16","9400255","CHONG MEDICAL CLINIC","MC","62414678","470703","A","703","01","3500","BEDOK RESERVOIR ROAD","","CDMP,CHAS,ISP","37634.82343308","35482.60637394","5107651633A927F8","20200902122251",103.91989305506,1.33716507465033
"17","9400258","CHONG'S MEDICAL CENTRE","MD","63383297","239924","B","190","01","29/30","CLEMENCEAU AVE","SINGAPORE SHOPPING CENTRE","CDMP,CHAS,ISP","29201.13590435","31168.64607367","7133061FE1B24620","20200902122251",103.844111318068,1.29815265418204
"18","9400264","CHOONG'S CLINIC","MC","67885190","520480","A","480","01","261","TAMPINES ST 44","","CDMP,CHAS,ISP","41387.37308056","38217.6879722","0DCD90FD52CE1537","20200902122251",103.953613062624,1.36189869571333
"19","9400265","CHOONG'S CLINIC","MC","63442400","390021","A","21","01","97","OLD AIRPORT RD","","CDMP,CHAS,ISP","33686.33919911","32211.80758516","C43FD63CDCAF7560","20200902122251",103.88441304265,1.3075861395776
"20","9400272","CHUA CLINIC","MC","63865720","530678","A","678","01","513","HOUGANG AVE 8","","CDMP,CHAS","33666.53328343","39206.18262963","74430252A04DE150","20200902122251",103.884236382226,1.37084076367772
"21","9400274","CHUA CLINIC & SURGERY","MC","62571690","760769","A","769","01","281","YISHUN AVE 3","","CDMP,CHAS","27989.29582302","45150.77355805","983D9F2496914C07","20200902122251",103.83322239147,1.42460205341205
"22","9400275","CHUA CLINIC & SURGERY","MD","67521603","760844","A","844","01","156","YISHUN ST 81","","CDMP,CHAS","28236.80771967","44158.155584","DBAA8CFF6245F557","20200902122251",103.835446503405,1.41562517359593
"23","9405666","CHUA MEDICO CLINIC LLP","MC","64562275","560529","","529","01","2323","ANG MO KIO AVE 10","","CDMP,CHAS","30463.5607481","39372.30782263","84D27664493A3F4E","20200902122251",103.85545542764,1.37234358213412
"24","9400281","CHUAH CLINIC & SURGERY PTE LTD","MD","67452104","380113","A","113","01","19","ALJUNIED AVE 2","","CDMP,CHAS","33880.65199677","33642.63098964","134639A19C644347","20200902122251",103.886159306963,1.32052595944466
"25","9404603","CHUNGKIAW CLINIC PTE LTD","MC","64662255","596180","B","68","01","01","JALAN JURONG KECHIL","SUITES AT BUKIT TIMAH","CDMP,CHAS","21359.43190152","35856.6370502","1485B5E1130300E9","20200902122251",103.773649129579,1.34054847931538
"26","9400285","CITILIFE FAMILY CLINIC","MC","65662281","600215","A","215","01","539","JURONG EAST ST 21","","CDMP,CHAS","17449.31739166","35788.7338858","A1BE71E75017107F","20200902122251",103.738514477814,1.33993327230313
"27","9400287","CITIZEN FAMILY CLINIC AND SURGERY","MD","67586168","760102","A","102","01","117","YISHUN AVE 5","","CDMP,CHAS","27493.03067917","45816.02079908","DF4D9A030A5A60CB","20200902122251",103.828762985206,1.43061830395979
"28","18M0043","CLARION MEDICAL","MC","63530818","560202","","202","01","1676","ANG MO KIO AVENUE 3","ANG MO KIO VIEW","CHAS","29246.16709712","38941.37318564","E3BD80249E9AA709","20200902122251",103.844516260553,1.36844644023912
"29","18M0380","DA Clinic @ Bishan","MC","62623759","570501","A","501","01","374","BISHAN STREET 11","","CHAS","29753.77404795","36726.61133352","42D2DC96C80E4F3B","20200902122250",103.84907733333,1.34841689766538
"30","19M0105","1 Medical Teck Ghee","MC","62517030","560410","A","410","01","837","ANG MO KIO AVENUE 10","TECK GHEE SQUARE","CHAS","30373.37795651","38307.67374948","010CADA3F4F7D80E","20200902122251",103.854644986918,1.36271541943285
"31","9400001","115 EASTPOINT CLINIC & SURGERY","MC","64410180","460115","A","115","01","301","BEDOK NORTH RD","","CDMP,CHAS","39523.69489874","34848.93024413","19FC221AA3E09C1A","20200902122251",103.936865404289,1.33143367986449
"32","9400002","18 CLINIC","MC","62999750","322101","A","101","01","228","TOWNER ROAD","","CDMP,CHAS,ISP","31090.40397139","33520.89049554","D022E321F421EC35","20200902122251",103.861087462865,1.31942539044681
"33","14M0337","1Aesthetics, Medical & Surgery","MC","66125173","059818","B","8","14","90","EU TONG SEN STREET","THE CENTRAL","CDMP,CHAS","29499.94958169","30151.75102766","0AF47600DD6B251D","20200902122251",103.84679624319,1.28895619965092
"34","9402662","338 FAMILY CLINIC","MD","64549408","560338","A","338","01","1615","ANG MO KIO AVE 1","","CDMP,CHAS","29743.70510049","38438.17845933","72364723E3612491","20200902122251",103.848986957423,1.3638957019431
"35","20M0117","57 Medical Clinic (Geylang Bahru)","MC","66947078","330057","A","57","01","3505","GEYLANG BAHRU","","CHAS","31987.42905444","33975.63193084","35D36DD2B9C5A5FC","20200902122251",103.869147756879,1.3235378064709
"36","9400006","81 FAMILY CLINIC","MC","63466768","440086","A","86","01","670","MARINE PARADE CENTRAL","","CDMP,CHAS","36172.75708286","31565.12493953","C17B173A1A24EBA5","20200902122251",103.906754510622,1.30173721640039
"37","9405507","888 PLAZA FAMILY CLINIC","MC","63688762","730888","B","888","01","739","WOODLANDS DRIVE 50","888 PLAZA","CDMP,CHAS","23770.71393482","46535.31373461","50C60CCBE20E922A","20200902122251",103.79531438351,1.43712301469225
"38","13C0067","A & A Clinic","MD","63390883","732570","A","570B","01","07","WOODLANDS AVENUE 1","","CDMP,CHAS","23229.82361293","45865.34272069","FCCD70EB99CBF806","20200902122251",103.79045407864,1.43106395467045
"39","9400096","A LIFE CLINIC PTE LTD","MC","67372283","307506","B","10","09","21","SINARAN DRIVE","NOVENA MEDICAL CENTER","CDMP,CHAS","29206.6219764","33662.3806674","3F1CCCBC74F1F218","20200902122251",103.844160709873,1.3207051098625
"40","19M0213","A MEDICAL CLINIC","MC","62262066","081001","A","1","01","27","EVERTON PARK","EVERTON PARK","CHAS","28743.72095859","28876.85813552","2D61BC7335090313","20200902122251",103.840001188467,1.27742654256439
"41","19M0120","A+FFORDABLE CLINIC (AMK AVE 10)","MC","63437731","560449","A","449","01","1715","ANG MO KIO AVENUE 10","","CHAS","30529.40105861","38876.41312864","64D7A523409D0E5E","20200902122251",103.856047008296,1.36785888235033
"42","15M0045","A+FFORDABLE CLINIC (HOUGANG)","MC","65849388","530681","A","681","01","829","HOUGANG AVENUE 8","","CDMP,CHAS","33827.09177047","39442.55542398","A24AA09ED5A018A1","20200902122251",103.885679159796,1.37297840263115
"43","19M0185","A1 Medical Clinic","MC","64930198","460418","A","418","01","63","BEDOK NORTH AVENUE 2","LINEAR GREEN @ BEDOK","CHAS","38763.72258007","34531.60781581","E9A696B451A90AF5","20200902122251",103.930036524412,1.32856421162809
"44","17M0298","ABLE MEDICAL","MC","69093955","524201","A","201D","01","1129","TAMPINES STREET 21","","CHAS","41384.46898859","37152.14358944","4D220D9788F150A2","20200902122251",103.953586491461,1.35226231434834
"45","16M0198","ACMS MEDICAL CLINIC","MC","62625052","239693","B","1","06","06","GRANGE ROAD","ORCHARD BUILDING","CHAS","28449.67936182","31527.58473977","5EF1CDF79F053F2B","20200902122251",103.837359153263,1.30139878843175
"46","9405222","ACUMED MEDICAL GROUP","MC","65327766","049318","B","16","02","03","COLLYER QUAY","INCOME AT RAFFLES","CDMP,CHAS,ISP","30140.00471934","29624.49622056","CAC451182873258E","20200902122251",103.852547365584,1.28418785545188
"47","9405234","ACUMED MEDICAL GROUP","MC","67923822","648886","B","1","B1A","19E","JURONG WEST CENTRAL 2","JURONG POINT SHOPPING CENTRE","CDMP,CHAS","13907.03052829","35735.75646953","FF44F95960C79D13","20200902122251",103.706685012636,1.33945271688955
"48","9405235","ACUMED MEDICAL GROUP","MC","65619366","600038","A","38","01","318/319","TEBAN GARDENS ROAD","","CDMP,CHAS","17924.79923637","33710.53527395","2C40F0316F382386","20200902122251",103.742787643586,1.32113896653504
"49","9405237","ACUMED MEDICAL GROUP","MC","63627789","730111","A","111","01","78","WOODLANDS STREET 13","","CDMP,CHAS,ISP","22295.64224924","46626.10279391","0F9E52D3DA889557","20200902122251",103.782059433299,1.43794381737826
"50","9405239","ACUMED MEDICAL GROUP","MC","62656422","610064","A","64","01","107/111","YUNG KUANG ROAD","","CDMP,CHAS,ISP","15661.61193978","34952.88381813","B0C7BAF7FF1DFAA7","20200902122251",103.722451247982,1.33237347600046
"51","9405240","ACUMED MEDICAL GROUP","MC","68615996","639591","B","71","01","06","PIONEER ROAD","TUAS AMENITY CENTRE","CDMP,CHAS","7846.169499","33270.50056766","8F6F9FD9444739D7","20200902122251",103.652226413178,1.31715448633568
"52","19M0060","ACUMED MEDICAL GROUP","MC","65639363","639499","B","14","01","05","TUAS AVENUE 1","JTC Space @ Tuas","CHAS","8817.36987804","33748.91105166","5359FC6886004E7E","20200902122251",103.66095280564,1.32148166492796
"53","9400018","ADIDAH FAMILY CLINIC & SURGERY","MD","67845435","520821","A","821","01","210","TAMPINES ST 81","","CDMP,CHAS,ISP","39276.96549","36727.15748902","05CC5900B3A4D1CA","20200902122251",103.934649103244,1.34841976695403
"54","19M0121","ADMIRALTY FAMILY MEDICAL CLINIC","MC","69048894","730693","A","693","01","08","WOODLANDS AVENUE 6","","CHAS","24711.13531577","46641.98982294","D2F823881D3B2548","20200902122251",103.80376495913,1.43808788035983
"55","9402738","ADVANCE CLINIC & SURGERY PTE LTD","MC","67421156","400301","","301","01","269","UBI AVE 1","","CDMP,CHAS","35638.3084538","34766.34380841","2656ABD6C70E2737","20200902122251",103.901953041118,1.33068802483318
"56","16M0147","AE Medical Clinic","MC","68162900","792467","A","467B","01","529","FERNVALE LINK","","CDMP,CHAS,ISP","32965.02908408","42217.15689947","A082229979E91C4E","20200902122251",103.877933381804,1.39807105477126
"57","20M0072","AIDAN MEDICAL CLINIC","MC","69707820","460539","A","539","01","623","BEDOK NORTH STREET 3","","CHAS","38237.39524452","34835.63076449","4840E6B3BB628799","20200902122251",103.925307290309,1.33131386611754
"58","9403468","ALEXANDRA FAMILY CLINIC & SURGERY","MC","64797022","142057","A","57","02","02","DAWSON ROAD","","CDMP,CHAS","25511.56739311","30566.10389459","920800AA4389567D","20200902122251",103.810958956801,1.29270339832463
"59","9404623","ALLIANCE CLINIC AND PARTNERS PTE LTD","MC","68469585","410652","A","652","01","50","JALAN TENAGA","","CDMP,CHAS,ISP","36282.66464167","34988.45169552","3F5EC8D62726CBFD","20200902122251",103.907742997146,1.33269651937702
"60","16M0095","AMDA International Peace Clinic","MC","66941661","257720","B","9","01","11","TAMAN SERASI","BOTANIC GARDENS VIEW","CDMP,CHAS","26421.5705098","32309.71273824","D834ADFB90C3E933","20200902122251",103.819135632329,1.30847204130269
"61","9400036","AMITY MEDICAL CLINIC & DENTAL SURGERY","MC","65609292","650371","A","371","01","314","BT BATOK ST 31","","CDMP,CHAS,ISP","18804.9118111","37925.672484","41CB84DFA97815D5","20200902122251",103.75069463099,1.35925940880518
"62","9403568","AMK FAMILY CLINIC PTE LTD","MC","64544204","569922","B","51","01","01","ANG MO KIO AVE 3","NO 51 @ AMK","CDMP,CHAS","29540.32119998","39035.45809543","756616F5F31B0A28","20200902122251",103.847159445411,1.36929729659109
"63","9400011","AMPM FAMILY CLINIC & SURGERY PTE. LTD.","MC","62530917","310123","A","123","01","521","TOA PAYOH LOR 1","","CDMP,CHAS","29378.34774523","35646.52690755","C8E676B6E61C32A2","20200902122251",103.845703844549,1.33864901778038
"64","9400046","ANG MO KIO MEDICAL CENTRE","MC","64570273","560157","A","157","01","558","ANG MO KIO AVE 4","","CDMP,CHAS","28676.23854943","39699.8244776","4D23AA3BB4072888","20200902122251",103.839395071325,1.37530562129984
"65","9404168","ANSARI FAMILY CLINIC & SURGERY","MC","67430714","388259","B","78","","","LORONG  25A GEYLANG ROAD","","CDMP,CHAS","33566.75611609","33133.58709654","EC26CCE6189FF482","20200902122251",103.883338697356,1.31592240672591
"66","9400054","APEX CLINIC & SURGERY","MC","67535621","760844","A","844","01","162","YISHUN ST 81","","CDMP,CHAS","28236.80771967","44158.155584","DBAA8CFFAA2AF13B","20200902122251",103.835446503405,1.41562517359593
"67","9400053","APEX CLINIC & SURGERY","MC","63677710","730306","A","306","01","39","WOODLANDS ST 31","","CDMP,CHAS","21469.56650047","45739.98574737","9A80960F64B67190","20200902122251",103.774636554647,1.42992991950792
"68","9400055","APEX MEDICAL CENTRE (JURONG) PTE LTD","MC","67912292","640960","A","960","01","172","JURONG WEST ST 92","","CDMP,CHAS","12212.6174493","35949.54641203","BFDEE0FA628ABB29","20200902122251",103.691459639169,1.34138531152671
"69","9405288","AR-Raudhah Medical Clinic and Surgery Pte Ltd","MC","65677458","650372","A","372","01","386","BUKIT BATOK STREET 31","","CDMP,CHAS","18862.68067946","37860.40454106","130D3F502231CB1F","20200902122251",103.751213742333,1.35866916669751
"70","9401662","ARCADIA CLINIC","MC","64695122","597626","B","2","01","211","PANDAN VALLEY","","CDMP,CHAS,ISP","21951.81239204","33633.31901418","8EBAE5246F9237F5","20200902122251",103.778972458718,1.32044171174532
"71","9402258","ASIAMEDIC WELLNESS ASSESSMENT CENTRE","MC","6789888","238868","","350","08","00","ORCHARD ROAD","SHAW HOUSE","CDMP,CHAS,ISP","27798.42864182","32015.33310863","4B9D55212F3FDA2B","20200902122251",103.831507365278,1.30580981572661
"72","9404831","ASPEN CLINIC","MC","64553829","570283","A","283","01","185","BISHAN STREET 22","","CDMP,CHAS,ISP","29272.03220912","37887.8853883","C59A5D1AFA63C975","20200902122251",103.844748631654,1.35891907140489
"73","9403516","ASSOCIATE DISPENSARIES","MC","62562308","310094","A","94","01","20","TOA PAYOH LOR 4","","CDMP,CHAS","29805.08345618","35673.66557523","07197CBFA9894FF8","20200902122251",103.849538318462,1.33889442806175
"74","16M0340","ASSURANCE MEDICARE CLINIC AND SURGERY","MC","63457810","437127","B","370","","","TANJONG KATONG ROAD","","CDMP,CHAS","35057.01433876","31692.36388527","C3C704918BDD69AC","20200902122251",103.896729088429,1.30288819409101
"75","17M0018","ATLAS PACIFIC MEDICAL","MC","63869098","248327","B","428","01","10","RIVER VALLEY ROAD","LOFT @ NATHAN","CHAS","27365.89842807","30760.43860628","E4846B4D8EB43E75","20200902122251",103.827620903348,1.29446098576164
"76","13M0361","ATRIO FAMILY CLINIC (AMK) PTE. LTD.","MC","64554282","560532","A","532","01","2461","ANG MO KIO AVENUE 10","CHENG SAN CENTRE","CDMP,CHAS","30367.71076085","39534.29181064","E67026E25650FE0F","20200902122251",103.854594160953,1.37380851529933
"77","15M0364","Acacia Medical Clinic","MC","98164823","109684","","180","01","07","DEPOT ROAD","INTERLACE, THE","CDMP,CHAS","24628.43431574","29404.85108794","28BEA17EEB4F0186","20200902122251",103.803023755955,1.28220135432784
"78","9405241","AcuMed Medical Group","MC","65159919","649846","B","301","01","18/19","BOON LAY WAY","BOON LAY MRT STATION","CDMP,CHAS","13822.67550401","35625.04989649","59963E291BE5D8E8","20200902122251",103.70592708661,1.33845148863534
"79","9405242","AcuMed Medical Group","MC","64438077","460214","A","214","01","165","Bedok North Street 1","","CDMP,CHAS,ISP","39037.11941425","34234.33096507","01777069A1D435FA","20200902122251",103.932493034946,1.32587565153874
"80","17M0142","AcuMed Medical Group","MC","63850113","543215","A","215C","01","02","COMPASSVALE DRIVE","","CHAS","34618.07917751","41299.33350436","65688DAE8690A263","20200902122251",103.892787161386,1.38977026270373
"81","15M0211","Acumed Medical Group","MC","68615755","629117","B","1","01","23","JOO KOON CIRCLE","FAIRPRICE HUB","CDMP,CHAS","10760.19030171","34206.12386783","781AF3FC7E4D0301","20200902122251",103.678409741881,1.32561767794228
"82","16M0004","Acumed Medical Group","MC","65701390","637370","B","128","01","03","TUAS SOUTH AVENUE 3","JTC BIOMED ONE @ TUAS BIOMEDICAL PARK","CDMP,CHAS","4985.53397365","30167.98804538","4132D1A643933D75","20200902122251",103.626524577792,1.28909462597839
"83","19M0160","Affinity Medical Clinic","MC","62808080","550253","A","253","01","187","SERANGOON CENTRAL DRIVE","","CHAS","32176.99089858","37348.3452909","551EE89BCE86AA18","20200902122251",103.870851534198,1.35403939788243
"84","9404401","Allergy, Arthritis & Rheumatism Clinic","MD","64749438","217562","B","1","14","13","FARRER PARK STATION ROAD","CONNEXION","CDMP,CHAS","30293.80179285","32752.14975386","E04B63460D9DF892","20200902122251",103.853929522028,1.31247324146379
"85","17M0228","Allhealth Family Clinic","MC","67026467","523872","A","872C","01","01","TAMPINES STREET 86","","CHAS","38940.23283936","37481.61231748","AA8C17341292E2AE","20200902122251",103.931623628634,1.35524290247104
"86","19M0341","Ally Health","MC","66977700","140462","A","46-2","01","372","COMMONWEALTH DRIVE","","CHAS","24094.68699586","31368.73817961","C5F9B1425238588F","20200902122251",103.798227586733,1.29996199426431
"87","16M0043","Ang Mo Kio Family Medicine Clinic","MC","65541133","569841","","4190","03","01","ANG MO KIO AVENUE 6","BROADWAY PLAZA","CDMP,CHAS,ISP","29405.66072624","39327.37442571","776C4FDE7BFA3E6F","20200902122251",103.845949440183,1.37193728999032
"88","16C0397","Anteh Dispensary Pte Ltd","MC","67440040","398664","","1","01","02","LORONG 22 GEYLANG","GRANDVIEW SUITES","CHAS","33468.48699051","32785.67660058","7E06EFB3781F029E","20200902122251",103.882455638548,1.31277604579897
"89","9404921","Apollo Medical Centre","MD","62962777","210668","A","668","01","24","CHANDER ROAD","","CDMP,CHAS","30020.99908892","32211.21533152","1AB3F80432444AF2","20200902122251",103.851478219833,1.30758123998287
"90","9404842","Asia HealthPartners","MC","62357888","238863","B","304","05","06","ORCHARD ROAD","LUCKY PLAZA","CDMP,CHAS","28071.59719487","31871.17487454","819ECA570A0DA7B6","20200902122251",103.833961913411,1.30450610034739
"91","12C0249","Atrio Family Clinic","MC","67520838","760291","A","291","01","349","YISHUN STREET 22","","CDMP,CHAS","28378.95761251","46384.65236368","A9343D9D499713BE","20200902122251",103.836723874387,1.43576080433402
"92","9400088","B S CHEW CLINIC","MC","65678803","600252","A","252","01","109","JURONG EAST ST 24","","CDMP,CHAS","17408.24358642","36130.76291904","847A1CC60B7C7509","20200902122251",103.738145286322,1.34302644245795
"93","9400089","B T GOH FAMILY CLINIC & SURGERY","MC","63544535","310194","A","194","01","406","KIM KEAT AVE","","CDMP,CHAS","30767.03163903","34794.04031504","27621E7EBC7E0CB8","20200902122251",103.858181908966,1.33093933661869
"94","9400097","BALKIS FAMILY CLINIC","MC","96153314","470631","A","631","01","968","BEDOK RESERVOIR RD","","CDMP,CHAS,ISP","37083.81960926","35017.52690881","DCE856F058F0AA59","20200902122251",103.914941831149,1.33295923548327
"95","9404456","BEDOK  CENTRAL CLINIC","MC","62424489","460214","A","214","01","161","BEDOK NORTH STREET 1","","CDMP,CHAS","39037.11941425","34234.33096507","01777069BDB980A4","20200902122251",103.932493034946,1.32587565153874
"96","9400102","BEDOK CLINIC & SURGERY(Family Medical Centre)","MC","62410943","460017","A","17","01","565","BEDOK SOUTH RD","","CDMP,CHAS","39378.85624037","33601.10134856","733BEAE95FD824C2","20200902122251",103.935563486314,1.32014882956642
"97","9400105","BEDOK LIFE CLINIC","MC","64431398","460123","","123","01","160","BEDOK NORTH ST 2","","CDMP,CHAS","39576.89557166","34601.79793826","4F4C861CB2B10103","20200902122251",103.937343348132,1.32919868633173
"98","18C0287","BEDOK MEDICAL CENTRE","MD","62414111","460018","A","18","01","57","BEDOK SOUTH RD","","CDMP,CHAS,ISP","39286.56501131","33653.75547249","445E961808549609","20200902122251",103.934734222327,1.3206250489608
"99","12C0198","BISHAN GRACE CLINIC","MC","62542232","570150","A","150","01","151","BISHAN STREET 11","","CDMP,CHAS","30436.67723952","36296.49922899","ADDA535E9E530626","20200902122251",103.855213610026,1.34452706925104
"100","9403277","BL MEDICAL ASSOCIATES","MC","62651052","118222","B","2","01","10","SCIENCE PARK DRIVE","ASCENT","CDMP,CHAS","22606.42219234","30351.41838298","D2E1176686F0E923","20200902122251",103.784855036241,1.29076149231466
"101","9403684","BOK FAMILY CLINIC  PTE LTD","MD","67478200","470117","A","117","01","58","BEDOK RESERVOIR ROAD","","CDMP,CHAS,ISP","36387.94222808","34846.55729474","22CEDAA5A17FCAB7","20200902122251",103.908688936297,1.33141324887407
"102","9402579","BOON KENG CLINIC & SURGERY","MC","67465456","380011","A","11","01","919","UPPER BOON KENG RD","","CDMP,CHAS,ISP","32184.01334321","32947.46127392","A1347A0E726F26C5","20200902122251",103.870914031071,1.31423937057055
"103","9400128","BOON LAY CENTRAL CLINIC","MD","62655996","640221","A","221","01","242","BOON LAY PLACE","BOON LAY SHOPPING CENTRE","CDMP,CHAS","14546.34900375","36498.19284422","0A525408717F45F8","20200902122251",103.712429315355,1.3463481965558
"104","9400129","BOON LAY CLINIC & SURGERY","MC","62655247","640221","A","221","01","240/244","BOON LAY PLACE","","CDMP,CHAS,ISP","14546.34900375","36498.19284422","0A525408EA180E9D","20200902122251",103.712429315355,1.3463481965558
"105","19M0066","BOON LAY CORPORATION CLINIC","MC","68994569","600350","A","350","01","1225","JURONG EAST AVENUE 1","","CHAS","16641.49559798","36243.90948505","D0ECFA0B57FE8F90","20200902122251",103.731255559658,1.34404941870857
"106","18M0176","BOSTON MEDICAL","MC","68179036","380119","A","119","01","72","ALJUNIED AVENUE 2","","CDMP,CHAS,ISP","33869.38861414","33598.72295093","EBB685C589C570A4","20200902122251",103.886058091098,1.32012887334325
"107","9400137","BUKIT BATOK MEDICAL CLINIC","MC","65603311","650207","","207","01","114","BUKIT BATOK ST 21","","CDMP,CHAS,ISP","18658.80226064","36487.01400006","35CD364D414F0E27","20200902122251",103.749382188619,1.3462486617594
"108","9403518","BUKIT TIMAH CLINIC","MC","64665458","269731","B","621A","","","BUKIT TIMAH ROAD","","CDMP,CHAS,ISP","25300.10766159","34090.36105838","B9DD9C49D33FDC16","20200902122251",103.809058595403,1.3245755173538
"109","9400143","BUKIT TIMAH NAM SANG  CLINIC","MD","64690760","598591","B","80","","","JLN JURONG KECHIL","","CDMP,CHAS,ISP","21313.63187169","35857.38690923","FE07344CF06AE629","20200902122251",103.773237589356,1.34055525010784
"110","9402787","Banyan Clinic Pte Ltd.","MC","63652001","730768","A","768","02","04","Woodlands Avenue 6","Woodlands Mart","CDMP,CHAS,ISP","24085.28700111","47475.18426852","BDFADA14F5C9DCB0","20200902122251",103.798140993881,1.44562290748789
"111","12C0244","Beo Crescent Clinic & Surgery","MC","62750269","160040","A","40","01","02","Beo Crescent","","CDMP,CHAS","27353.89036223","30162.99234494","ACDDB5D5B31592FF","20200902122251",103.827513018591,1.28905789113721
"112","9405101","Bethesda Medical Centre","MD","63378933","038983","B","3","03","330","TEMASEK BOULEVARD","SUNTEC CITY MALL","CDMP,CHAS","30859.71977217","30923.09790327","0F18873C99627FDA","20200902122251",103.859014406987,1.29593189474123
"113","12C0252","Bless Medical Centre Pte Ltd","MD","62664119","640221","A","221","01","108","BOON LAY PLACE","BOON LAY SHOPPING CENTRE","CDMP,CHAS","14546.34900375","36498.19284422","0A525408A123D722","20200902122251",103.712429315355,1.3463481965558
"114","19M0007","Braddell Family Clinic","MC","62536288","310124","A","124","01","489","LORONG 1 TOA PAYOH","","CHAS","29258.54004351","35646.49860698","D9ABFBF28A1070D8","20200902122251",103.844627301844,1.33864876707252
"115","9402741","C & K FAMILY CLINIC PTE LTD","MD","62429588","455297","B","108","","","UPPER EAST COAST ROAD","","CDMP,CHAS","38682.39910624","32829.31658602","CAA15791452211A4","20200902122251",103.92930519829,1.31316934216382
"116","9400151","C H TAN MEDICAL CLINIC & DENTAL SURGERY","MC","65618712","650177","A","177","01","259","BT BATOK WEST AVE 8","","CDMP,CHAS,ISP","17808.54269556","36497.59486993","1678EB41B052A017","20200902122251",103.741742087355,1.34634407478636
